rest_link,budget_dummy,discount_dummy,chain_dummy,city_dummy,longitude,latitude,pic_count,primary_cuisine,cuisines_list,cuisine_names,categories_count,category_names,products_count,products_names,feat_products_count,feat_products_names
m4du/he-ma-ma-mian-fang,2,False,,kaohsiung-city,120.3120346069336,22.62033462524414,15,台式,['台式'],台式,1,主食,14,XO醬拉麵【獨家餐點】XO醬疙瘩【獨家餐點】肉骨茶麵【獨家餐點】肉骨茶冬粉【獨家餐點】肉骨茶麵疙瘩【獨家餐點】南瓜濃湯蔬菜拉麵【獨家餐點】南瓜濃湯蔬菜麵疙瘩【獨家餐點】南瓜濃湯海鮮拉麵【獨家餐點】南瓜濃湯海鮮疙瘩【獨家餐點】高麗菜豬肉水餃【獨家餐點】酸辣湯拉麵【獨家餐點】酸辣湯麵疙瘩【獨家餐點】酸辣湯餃【獨家餐點】黑芝麻涼麵【獨家餐點】,6,XO醬疙瘩【獨家餐點】肉骨茶麵【獨家餐點】南瓜濃湯蔬菜拉麵【獨家餐點】南瓜濃湯蔬菜麵疙瘩【獨家餐點】高麗菜豬肉水餃【獨家餐點】酸辣湯餃【獨家餐點】
i0ge/jin-tian-chi-mian-1,2,True,,kaohsiung-city,120.3120346069336,22.62033462524414,9,台式,"['麵食', '台式']",麵食台式,5,麵類乾麵類飯類湯類餃子類,25,番茄排骨麵-豬肉產地台灣番茄蔬菜麵蔥燒排骨麵-豬肉產地台灣餛飩湯麵-豬肉產地台灣榨菜湯麵-豬肉產地台灣陽春湯麵-豬肉產地台灣八寶麵疙瘩-豬肉產地台灣番茄排骨拌麵-豬肉產地台灣番茄蔬菜拌麵麻醬乾麵-豬肉產地台灣皮蛋麻醬麵-豬肉產地台灣蔥燒排骨拌麵-豬肉產地台灣餛飩乾麵-豬肉產地台灣陽春乾麵-豬肉產地台灣番茄排骨飯-豬肉產地台灣蔥燒排骨飯-豬肉產地台灣茄汁雞腿飯-豬肉產地台灣檸檬雞腿飯番茄蔬菜飯番茄蔬菜湯綜合丸湯-豬肉產地台灣貢丸湯-豬肉產地台灣魚丸湯蔬菜湯餃高麗菜手工餃-豬肉產地台灣,6,番茄排骨麵-豬肉產地台灣番茄蔬菜麵蔥燒排骨麵-豬肉產地台灣皮蛋麻醬麵-豬肉產地台灣蔥燒排骨拌麵-豬肉產地台灣高麗菜手工餃-豬肉產地台灣
z1bq/one-plus-coffee-yi-jia-ka-pei-guan,2,False,,kaohsiung-city,120.3120346069336,22.62033462524414,0,台式,"['飲料', '台式', '咖啡輕食']",飲料台式咖啡輕食,0,,0,,1,NANANANANANA
shzr/fu-long-yue-tai-tie-lu-bian-dang-ling-ya-fu-xing-dian,1,False,,kaohsiung-city,120.3120346069336,22.62033462524414,13,台式,"['台式', '便當']",台式便當,1,精緻餐盒,13,鐵路便當蔬菜便當鯖魚便當海陸雙拼便當琵琶滷雞便當鹹豬肉便當香腸便當鯛魚便當炸排便當滷排便當味噌雞便當炸雞排便當炸雞腿便當,6,琵琶滷雞便當鹹豬肉便當滷排便當味噌雞便當炸雞排便當炸雞腿便當
z0sj/mai-wei-deng-ling-ya-xing-zhong-dian,1,True,,kaohsiung-city,120.3120346069336,22.62033462524414,56,台式,"['早餐', '台式']",早餐台式,15,指定餐點專區握蛋捲餅布里歐皇厚吐司系列美味推薦義大利麵主廚推薦精選早餐經典麵包【滿分堡】經典麵包【乳酪堡、丹麥堡、可頌】中式系列抹醬系列沙拉湯品點心系列經典咖啡風味飲品,128,奶茶(480ml)x2燻雞握蛋捲餅德腸握蛋捲餅豬排握蛋捲餅蜜糖起司布里歐皇厚吐司香蒜布里歐皇后吐司顆粒花生布里歐皇厚吐司蜜糖奶油布里歐皇厚吐司巧克力布里歐皇厚吐司蘿勒燻雞三明治特餐泰式卡滋脆雞特餐招牌特餐法式特餐幸福特餐美式鬆餅特餐樂活特餐港式特餐法式蘿勒鮪魚特餐紐澳純牛漢堡排特餐威爾遜嫩煎腿排可頌餐乳酪麵包兒童餐健康好食嫩雞餐茄汁檸檬雞義大利麵奶油培根義大利麵青醬蘑菇義大利麵青醬雞肉義大利麵咖哩唐揚雞蛋包飯威爾遜嫩煎腿排蛋包飯蘿勒燻雞焗飯巴沃斯特焗飯西式紅酒牛肉飯火腿蛋漢堡/湯種鮮蔬蛋漢堡/湯種豬肉蛋漢堡/湯種培根蛋漢堡/湯種香雞蛋漢堡/湯種鮮蛋沙拉鮪魚蛋燻雞蛋漢堡/湯種泡菜豬肉蛋漢堡/湯種黑胡椒豬排蛋漢堡/湯種檸檬雞蛋漢堡/湯種羅漢素齋蛋漢堡/湯種卡滋雞腿蛋漢堡/湯種超厚牛肉起司蛋漢堡/湯種MWD總匯三明治超厚雞肉起司蛋漢堡/湯種歐姆蛋滿分堡火腿薯餅滿分蛋堡豬肉起司蛋滿分堡鮪魚蛋滿分堡港式豬肉蛋滿分堡黑胡椒豬排蛋滿分堡秘制腿丁蛋滿分堡花生厚牛起司蛋滿分堡港式雞扒包原塊嫩雞起司蛋滿分堡鮮蔬蛋乳酪堡/丹麥堡/可頌歐姆蛋乳酪堡/丹麥堡/可頌檸檬雞蛋乳酪堡/丹麥堡/可頌燻雞蛋乳酪堡/丹麥堡/可頌秘制腿丁蛋乳酪堡/丹麥堡/可頌卡滋雞腿蛋乳酪堡/丹麥堡/可頌超厚牛肉起司蛋乳酪堡/丹麥堡/可頌玉米蛋餅肉鬆蛋餅火腿蛋餅起司蛋餅培根蛋餅泡菜蛋餅熱狗蛋餅鮪魚蛋餅燻雞蛋餅火腿玉米蛋餅鮮蔬玉米蛋餅培根起司蛋餅薯餅蛋餅豬排蛋餅蘿蔔糕手工蔥抓蛋餅黃金泡菜蔥抓餅黃金泡菜酥炸餃黃金泡菜蘿蔔糕吐司抹醬湯種抹醬丹麥抹醬燻雞沙拉鮮蛋 沙拉嫩雞沙拉巧達濃湯荷包蛋雞優熱狗德式香腸法國吐司（甜）歐姆蛋美式鬆餅（甜）雞塊黃金脆薯香檸雞柳條QQ棒四角薯餅薯餅蛋塔時蔬嫩蛋嫩煎雞腿排唐揚雞塊卡滋雞腿美式咖啡拿鐵咖啡焦糖拿鐵榛果拿鐵錫蘭紅茶錫蘭紅茶【660ml】冰釀綠茶【360ml】冰釀綠茶冰釀綠茶【660ml】豆漿奶茶【M】奶茶【660ml】手熬冬瓜茶 【限冰飲】夏威夷冰茶【限冰飲】熱帶水果茶【限冰飲】萊姆蜜紅茶【限冰飲】鮮檸冬瓜茶【限冰飲】山藥薏仁柳橙汁 【限冰飲】可可牛奶紅茶拿鐵紐西蘭牛奶,6,奶茶(480ml)x2豬肉蛋漢堡/湯種豬肉起司蛋滿分堡雞塊黃金脆薯薯餅蛋塔
z2hc/tian-tian-chao-fan,1,False,,kaohsiung-city,120.3120346069336,22.62033462524414,5,台式,['台式'],台式,2,精緻餐點炒麵類,21,火腿蛋炒飯肉絲蛋炒飯香腸蛋炒飯蝦仁蛋炒飯茄汁蛋炒飯培根蛋炒飯蛋炒飯咖哩蛋炒飯蒜香蛋炒飯肉絲古早味蛋炒飯三杯雞蛋炒飯櫻花蝦蛋炒飯鹹豬肉蛋炒飯燻雞蛋炒飯貢丸湯蛋花湯什錦炒意麵什錦炒泡麵炒泡菜泡麵炒咖哩泡麵炒泡菜意麵,6,蝦仁蛋炒飯蒜香蛋炒飯肉絲古早味蛋炒飯三杯雞蛋炒飯什錦炒意麵什錦炒泡麵
dyu7/fen-qi-hu-liu-jia-tie-lu-bian-dang,2,True,,kaohsiung-city,120.3120346069336,22.62033462524414,14,台式,"['台式', '便當']",台式便當,2,特色餐盒系列單點,14,懷舊排骨飯餐盒【獨家餐點】古早味焢肉飯餐盒【獨家餐點】台式滷豬腳飯餐盒【獨家餐點】炸蒜香雞排飯餐盒【獨家餐點】泰式椒麻雞飯餐盒【獨家餐點】日式蒲燒鯛魚飯餐盒【獨家餐點】酥炸魚排飯餐盒【獨家餐點】橙汁咕咾肉飯餐盒【獨家餐點】香煎鯖魚飯餐盒【獨家餐點】招牌雙拼餐盒【獨家餐點】懷舊雙拼餐盒【獨家餐點】海陸雙拼餐盒【獨家餐點】異國雙拼餐盒【獨家餐點】今日特湯【獨家餐點】,6,懷舊排骨飯餐盒【獨家餐點】台式滷豬腳飯餐盒【獨家餐點】炸蒜香雞排飯餐盒【獨家餐點】泰式椒麻雞飯餐盒【獨家餐點】橙汁咕咾肉飯餐盒【獨家餐點】招牌雙拼餐盒【獨家餐點】
y1nx/zao-an-mei-zhi-cheng-ling-ya-huo-li-ren-ai-dian,1,True,zao-an-mei-zhi-cheng,kaohsiung-city,120.3120346069336,22.62033462524414,14,台式,"['早餐', '台式']",早餐台式,9,經典吐司佛卡夏法式燒餅丹麥土司蛋餅點心炸物嚴選飲品研磨咖啡午餐系列,40,無法提供客製化商品，飲品不可調整甜度，不可與其他折扣併用果醬厚片藍莓乳酪果醬厚片藍莓乳酪佛卡夏蛋沙拉佛卡夏蘋果核桃佛卡夏里肌豬排佛卡夏蘋果核桃法式燒餅起司蛋法式燒餅培根蛋法式燒餅薯泥法式燒餅薯泥蛋丹麥土司洋蔥鮪魚蛋丹麥土司培根蛋丹麥土司燻雞蛋丹麥土司原味蛋餅玉米蛋餅火腿蛋餅培根蛋餅洋蔥鮪魚蛋餅起司蛋餅薯泥起司蛋餅里肌豬排蛋餅港式蘿蔔糕熱狗薯餅雞塊德式香腸黃金脆薯皇家奶茶極品紅茶台灣四季春鮮奶茶招牌咖啡美式咖啡拿鐵咖啡黃金煎餃豬柳鐵板麵豬柳鐵板烏龍麵日式煎餃,6,洋蔥鮪魚蛋餅港式蘿蔔糕雞塊黃金脆薯鮮奶茶豬柳鐵板麵
k3jq/he-feng-gu-zao-wei-yang-chun-mian,1,True,,kaohsiung-city,120.3120346069336,22.62033462524414,48,台式,"['麵食', '台式']",麵食台式,3,主食類湯類小菜類,81,沙茶麻醬麵陽春麵塩水意麵米粉粿仔條餛飩麵鴨肉麵鴨肉冬粉肝連肉麵豬舌麵蒜香乾拌意麵下水湯意麵下水米粉湯下水湯粿條下水冬粉湯下水湯麵青椒拌香干青椒拌豆芽鴨肉粿仔條鴨肉意麵餛飩湯魚丸湯鱈魚丸湯貢丸湯菜頭湯鴨米血湯肝連肉湯豬舌湯下水湯下水湯麵脆腸湯【喉管】豬粉腸湯綜合丸湯魚丸菜頭湯菜頭貢丸湯菜頭米血湯嘴邊肉湯地瓜葉拌松花現燙時蔬豆芽拌鴨腸豆芽拌鴨胗香拌抄手皮蛋豆腐涼拌豬頭皮沙拉魚蛋鴨米血盤煙燻鴨肉盤（小）煙燻鴨肉盤（大）三色蛋白灼鮮魷香拌菜頭生腸嫩豆腐（冷）日式風味蟹肉棒豬耳朵鹽水豬舌豬頭皮脆腸（豬喉管）肝連肉嘴邊肉鴨胗滷大腸頭豬粉腸大豆干小豆干2片百頁豆腐樓梯大貢丸手工紅粉腸（紅糟魚肉）手工白粉腸（原味魚肉）皮蛋海帶2片冷凍生餛飩盒（30粒）涼拌沙拉過貓香拌金針菇川燙澎湖小卷煙燻鴨翅蔗燻鯊魚煙涼拌小黃瓜中肉捲煙燻墨魚條玉子燒,6,沙茶麻醬麵陽春麵塩水意麵粿仔條蒜香乾拌意麵現燙時蔬
d28p/deng-ji-jia-chang-niu-rou-mian,2,True,,kaohsiung-city,120.3120346069336,22.62033462524414,33,台式,"['麵食', '台式']",麵食台式,5,麵類 飯類冬粉滷味和小菜湯類,39,招牌牛肉蛋花湯麵特選牛筋肉蛋花湯麵牛肉蛋花清湯麵榨菜肉絲蛋花湯麵招牌牛肉乾拌麵招牌炸醬麵榨菜肉絲湯麵餛飩湯麵招牌牛肉湯麵咖哩牛肉麵榨菜肉絲乾拌麵牛肉炒飯什錦炒飯蝦仁蛋炒飯肉絲蛋炒飯火腿蛋炒飯蛋炒飯牛肉燴飯牛肉冬粉榨菜肉絲湯冬粉餛飩清湯冬粉滷豆乾滷豬皮滷豆皮涼拌海帶絲涼拌小黃瓜滷花生滷海帶滷麵腸招牌滷牛肚招牌滷牛腱子心肉招牌滷大腸頭招牌滷牛筋滷豬耳朵滷豬頭皮招牌牛肉青菜蛋花湯炸菜肉絲湯餛飩湯蛋花青菜湯,6,招牌牛肉蛋花湯麵招牌炸醬麵招牌牛肉湯麵榨菜肉絲乾拌麵牛肉炒飯蝦仁蛋炒飯
